Com_code;regrgp_nom;reg_nom;com_nom_maj_court
01256;Province;Auvergne-Rhône-Alpes;MONTANAY
01257;Province;Auvergne-Rhône-Alpes;MONTANGES
01258;Province;Auvergne-Rhône-Alpes;MONTCEAUX
01259;Province;Auvergne-Rhône-Alpes;MONTCET
01260;Province;Auvergne-Rhône-Alpes;LE MONTELLIER
01261;Province;Auvergne-Rhône-Alpes;MONTHIEUX
01262;Province;Auvergne-Rhône-Alpes;MONTLUEL
01263;Province;Auvergne-Rhône-Alpes;MONTMERLE SUR SAONE
01264;Province;Auvergne-Rhône-Alpes;MONTRACOL
01265;Province;Auvergne-Rhône-Alpes;MONTREAL LA CLUSE
01266;Province;Auvergne-Rhône-Alpes;MONTREVEL EN BRESSE
01267;Province;Auvergne-Rhône-Alpes;NURIEUX VOLOGNAT
01268;Province;Auvergne-Rhône-Alpes;MURS ET GELIGNIEUX
01269;Province;Auvergne-Rhône-Alpes;NANTUA
01270;Province;Auvergne-Rhône-Alpes;NAPT
01271;Province;Auvergne-Rhône-Alpes;NATTAGES
01272;Province;Auvergne-Rhône-Alpes;NEUVILLE LES DAMES
01273;Province;Auvergne-Rhône-Alpes;NEUVILLE SUR AIN
01274;Province;Auvergne-Rhône-Alpes;LES NEYROLLES
01275;Province;Auvergne-Rhône-Alpes;NEYRON
01276;Province;Auvergne-Rhône-Alpes;NIEVROZ
01277;Province;Auvergne-Rhône-Alpes;NIVOLLET MONTGRIFFON
01278;Province;Auvergne-Rhône-Alpes;OCHIAZ
01279;Province;Auvergne-Rhône-Alpes;ONCIEU
01280;Province;Auvergne-Rhône-Alpes;ORDONNAZ
01281;Province;Auvergne-Rhône-Alpes;ORNEX
01282;Province;Auvergne-Rhône-Alpes;OUTRIAZ
01283;Province;Auvergne-Rhône-Alpes;OYONNAX
01284;Province;Auvergne-Rhône-Alpes;OZAN
01285;Province;Auvergne-Rhône-Alpes;PARCIEUX
01286;Province;Auvergne-Rhône-Alpes;PARVES
01287;Province;Auvergne-Rhône-Alpes;PASSIN
01288;Province;Auvergne-Rhône-Alpes;PERON
01289;Province;Auvergne-Rhône-Alpes;PERONNAS
01290;Province;Auvergne-Rhône-Alpes;PEROUGES
01291;Province;Auvergne-Rhône-Alpes;PERREX
01292;Province;Auvergne-Rhône-Alpes;LE PETIT ABERGEMENT
01293;Province;Auvergne-Rhône-Alpes;PEYRIAT
01294;Province;Auvergne-Rhône-Alpes;PEYRIEU
01295;Province;Auvergne-Rhône-Alpes;PEYZIEUX SUR SAONE
01296;Province;Auvergne-Rhône-Alpes;PIRAJOUX
01297;Province;Auvergne-Rhône-Alpes;PIZAY
01298;Province;Auvergne-Rhône-Alpes;PLAGNE
01299;Province;Auvergne-Rhône-Alpes;LE PLANTAY
01300;Province;Auvergne-Rhône-Alpes;LE POIZAT
01301;Province;Auvergne-Rhône-Alpes;POLLIAT
01302;Province;Auvergne-Rhône-Alpes;POLLIEU
01303;Province;Auvergne-Rhône-Alpes;PONCIN
01304;Province;Auvergne-Rhône-Alpes;PONT D AIN
01305;Province;Auvergne-Rhône-Alpes;PONT DE VAUX
01306;Province;Auvergne-Rhône-Alpes;PONT DE VEYLE
01307;Province;Auvergne-Rhône-Alpes;PORT
01308;Province;Auvergne-Rhône-Alpes;POUGNY
01309;Province;Auvergne-Rhône-Alpes;POUILLAT
01310;Province;Auvergne-Rhône-Alpes;PREMEYZEL
01311;Province;Auvergne-Rhône-Alpes;PREMILLIEU
01312;Province;Auvergne-Rhône-Alpes;PRESSIAT
01313;Province;Auvergne-Rhône-Alpes;PREVESSIN MOENS
01314;Province;Auvergne-Rhône-Alpes;PRIAY
01315;Province;Auvergne-Rhône-Alpes;PROULIEU
01316;Province;Auvergne-Rhône-Alpes;PUGIEU
01317;Province;Auvergne-Rhône-Alpes;RAMASSE
01318;Province;Auvergne-Rhône-Alpes;RANCE
01319;Province;Auvergne-Rhône-Alpes;RELEVANT
01320;Province;Auvergne-Rhône-Alpes;REPLONGES
01321;Province;Auvergne-Rhône-Alpes;REVONNAS
01322;Province;Auvergne-Rhône-Alpes;REYRIEUX
01323;Province;Auvergne-Rhône-Alpes;REYSSOUZE
01324;Province;Auvergne-Rhône-Alpes;RIGNAT
01325;Province;Auvergne-Rhône-Alpes;RIGNIEUX LE FRANC
01326;Province;Auvergne-Rhône-Alpes;RILLIEUX
01327;Province;Auvergne-Rhône-Alpes;ROMANECHE
01328;Province;Auvergne-Rhône-Alpes;ROMANS
01329;Province;Auvergne-Rhône-Alpes;ROSSILLON
01330;Province;Auvergne-Rhône-Alpes;RUFFIEU
01331;Province;Auvergne-Rhône-Alpes;ST ALBAN
01332;Province;Auvergne-Rhône-Alpes;ST ANDRE DE BAGE
01333;Province;Auvergne-Rhône-Alpes;ST ANDRE DE CORCY
01334;Province;Auvergne-Rhône-Alpes;ST ANDRE D HUIRIAT
01335;Province;Auvergne-Rhône-Alpes;ST ANDRE LE BOUCHOUX
01336;Province;Auvergne-Rhône-Alpes;ST ANDRE SUR VIEUX JONC
01337;Province;Auvergne-Rhône-Alpes;ST BENIGNE
01338;Province;Auvergne-Rhône-Alpes;ST BENOIT
01339;Province;Auvergne-Rhône-Alpes;ST BERNARD
01340;Province;Auvergne-Rhône-Alpes;ST BOIS
01341;Province;Auvergne-Rhône-Alpes;ST CHAMP
01342;Province;Auvergne-Rhône-Alpes;STE CROIX
01343;Province;Auvergne-Rhône-Alpes;ST CYR SUR MENTHON
01344;Province;Auvergne-Rhône-Alpes;ST DENIS LES BOURG
01345;Province;Auvergne-Rhône-Alpes;ST DENIS EN BUGEY
01346;Province;Auvergne-Rhône-Alpes;ST DIDIER D AUSSIAT
01347;Province;Auvergne-Rhône-Alpes;ST DIDIER DE FORMANS
01348;Province;Auvergne-Rhône-Alpes;ST DIDIER SUR CHALARONNE
01349;Province;Auvergne-Rhône-Alpes;ST ELOI
01350;Province;Auvergne-Rhône-Alpes;ST ETIENNE DU BOIS
01351;Province;Auvergne-Rhône-Alpes;ST ETIENNE SUR CHALARONNE
01352;Province;Auvergne-Rhône-Alpes;ST ETIENNE SUR REYSSOUZE
01353;Province;Auvergne-Rhône-Alpes;STE EUPHEMIE
01354;Province;Auvergne-Rhône-Alpes;ST GENIS POUILLY
01355;Province;Auvergne-Rhône-Alpes;ST GENIS SUR MENTHON
01356;Province;Auvergne-Rhône-Alpes;ST GEORGES SUR RENON
01357;Province;Auvergne-Rhône-Alpes;ST GERMAIN DE JOUX
01358;Province;Auvergne-Rhône-Alpes;ST GERMAIN LES PAROISSES
01359;Province;Auvergne-Rhône-Alpes;ST GERMAIN SUR RENON
01360;Province;Auvergne-Rhône-Alpes;ST JEAN DE GONVILLE
01361;Province;Auvergne-Rhône-Alpes;ST JEAN DE NIOST
01362;Province;Auvergne-Rhône-Alpes;ST JEAN DE THURIGNEUX
01363;Province;Auvergne-Rhône-Alpes;ST JEAN LE VIEUX
01364;Province;Auvergne-Rhône-Alpes;ST JEAN SUR REYSSOUZE
01365;Province;Auvergne-Rhône-Alpes;ST JEAN SUR VEYLE
01366;Province;Auvergne-Rhône-Alpes;STE JULIE
01367;Province;Auvergne-Rhône-Alpes;ST JULIEN SUR REYSSOUZE
01368;Province;Auvergne-Rhône-Alpes;ST JULIEN SUR VEYLE
01369;Province;Auvergne-Rhône-Alpes;ST JUST
01370;Province;Auvergne-Rhône-Alpes;ST LAURENT SUR SAONE
01371;Province;Auvergne-Rhône-Alpes;ST MARCEL
