Codedep_com;COM;PTOT;
02480;Mesbrecourt-Richecourt;315;
02481;Mesnil-Saint-Laurent;489;
02482;Meurival;55;
02483;Mézières-sur-Oise;523;
02484;Mézy-Moulins;530;
02485;Missy-aux-Bois;98;
02486;Missy-lès-Pierrepont;108;
02487;Missy-sur-Aisne;636;
02488;Molain;158;
02489;Molinchart;349;
02490;Monampteuil;129;
02491;Monceau-le-Neuf-et-Faucouzy;333;
02492;Monceau-lès-Leups;462;
02493;Monceau-le-Waast;230;
02494;Monceau-sur-Oise;129;
02495;Mondrepuis;1061;
02496;Monnes;101;
02497;Mons-en-Laonnois;1183;
02498;Montaigu;776;
02499;Montbavin;45;
02500;Montbrehain;829;
02501;Montchâlons;95;
02502;Montcornet;1333;
02503;Mont-d'Origny;833;
02504;Montescourt-Lizerolles;1644;
02505;Montfaucon;211;
02506;Montgobert;201;
02507;Montgru-Saint-Hilaire;32;
02508;Monthenault;157;
02509;Monthiers;156;
02510;Monthurel;153;
02511;Montigny-en-Arrouaise;299;
02512;Montigny-l'Allier;275;
02513;Montigny-le-Franc;140;
02514;Montigny-Lengrain;719;
02515;Montigny-lès-Condé;61;
02516;Montigny-sous-Marle;68;
02517;Montigny-sur-Crécy;304;
02518;Montlevon;306;
02519;Montloué;190;
02520;Mont-Notre-Dame;748;
02521;Montreuil-aux-Lions;1378;
02522;Mont-Saint-Jean;76;
02523;Mont-Saint-Martin;73;
02524;Mont-Saint-Père;709;
02525;Morcourt;590;
02526;Morgny-en-Thiérache;102;
02527;Morsain;467;
02528;Mortefontaine;233;
02529;Mortiers;179;
02530;Moulins;79;
02531;Moussy-Verneuil;119;
02532;MoÃ¿-de-l'Aisne;1004;
02533;Muret-et-Crouttes;119;
02534;Muscourt;49;
02535;Nampcelles-la-Cour;118;
02536;Nampteuil-sous-Muret;104;
02537;Nanteuil-la-Fosse;203;
02538;Nanteuil-Notre-Dame;70;
02539;Nauroy;710;
02540;Nesles-la-Montagne;1263;
02541;Neufchâtel-sur-Aisne;427;
02542;Neuflieux;84;
02543;Neuilly-Saint-Front;2100;
02544;Neuve-Maison;630;
02545;La Neuville-Bosmont;189;
02546;La Neuville-en-Beine;197;
02547;La Neuville-Housset;67;
02548;La Neuville-lès-Dorengt;384;
02549;Neuville-Saint-Amand;871;
02550;Neuville-sur-Ailette;118;
02551;Neuville-sur-Margival;115;
02552;Neuvillette;196;
02553;Nizy-le-Comte;248;
02554;Nogentel;1093;
02555;Nogent-l'Artaud;2154;
02556;Noircourt;82;
02557;Noroy-sur-Ourcq;127;
02558;Le Nouvion-en-Thiérache;2585;
02559;Nouvion-et-Catillon;466;
02560;Nouvion-le-Comte;250;
02561;Nouvion-le-Vineux;157;
02562;Nouvron-Vingré;214;
02563;Noyales;167;
02564;Noyant-et-Aconin;500;
02565;Œuilly;294;
02566;Ognes;1127;
02567;Ohis;287;
02568;Oigny-en-Valois;166;
02569;Oisy;474;
02570;Ollezy;177;
02571;Omissy;792;
02572;Orainville;511;
02573;Orgeval;61;
02574;Origny-en-Thiérache;1460;
02575;Origny-Sainte-Benoite;1684;
02576;Osly-Courtil;338;
02577;Ostel;91;
02578;Oulches-la-Vallée-Foulon;87;
02579;Oulchy-la-Ville;134;
02580;Oulchy-le-Château;826;
02581;Paars;324;
