Com_code;com_nom_maj_court;regrgp_nom;reg_nom
01236;MARSONNAS;Province;Auvergne-Rhône-Alpes
01237;MARTIGNAT;Province;Auvergne-Rhône-Alpes
01238;MASSIEUX;Province;Auvergne-Rhône-Alpes
01239;MASSIGNIEU DE RIVES;Province;Auvergne-Rhône-Alpes
01240;MATAFELON GRANGES;Province;Auvergne-Rhône-Alpes
01241;MEILLONNAS;Province;Auvergne-Rhône-Alpes
01242;MERIGNAT;Province;Auvergne-Rhône-Alpes
01243;MESSIMY SUR SAONE;Province;Auvergne-Rhône-Alpes
01244;MEXIMIEUX;Province;Auvergne-Rhône-Alpes
01245;BOHAS MEYRIAT RIGNAT;Province;Auvergne-Rhône-Alpes
01246;MEZERIAT;Province;Auvergne-Rhône-Alpes
01247;MIJOUX;Province;Auvergne-Rhône-Alpes
01248;MIONNAY;Province;Auvergne-Rhône-Alpes
01249;MIRIBEL;Province;Auvergne-Rhône-Alpes
01250;MISERIEUX;Province;Auvergne-Rhône-Alpes
01251;MOENS;Province;Auvergne-Rhône-Alpes
01252;MOGNENEINS;Province;Auvergne-Rhône-Alpes
01253;MOLLON;Province;Auvergne-Rhône-Alpes
01254;MONTAGNAT;Province;Auvergne-Rhône-Alpes
01255;MONTAGNIEU;Province;Auvergne-Rhône-Alpes
01256;MONTANAY;Province;Auvergne-Rhône-Alpes
01257;MONTANGES;Province;Auvergne-Rhône-Alpes
01258;MONTCEAUX;Province;Auvergne-Rhône-Alpes
01259;MONTCET;Province;Auvergne-Rhône-Alpes
01260;LE MONTELLIER;Province;Auvergne-Rhône-Alpes
01261;MONTHIEUX;Province;Auvergne-Rhône-Alpes
01262;MONTLUEL;Province;Auvergne-Rhône-Alpes
01263;MONTMERLE SUR SAONE;Province;Auvergne-Rhône-Alpes
01264;MONTRACOL;Province;Auvergne-Rhône-Alpes
01265;MONTREAL LA CLUSE;Province;Auvergne-Rhône-Alpes
01266;MONTREVEL EN BRESSE;Province;Auvergne-Rhône-Alpes
01267;NURIEUX VOLOGNAT;Province;Auvergne-Rhône-Alpes
01268;MURS ET GELIGNIEUX;Province;Auvergne-Rhône-Alpes
01269;NANTUA;Province;Auvergne-Rhône-Alpes
01270;NAPT;Province;Auvergne-Rhône-Alpes
01271;NATTAGES;Province;Auvergne-Rhône-Alpes
01272;NEUVILLE LES DAMES;Province;Auvergne-Rhône-Alpes
01273;NEUVILLE SUR AIN;Province;Auvergne-Rhône-Alpes
01274;LES NEYROLLES;Province;Auvergne-Rhône-Alpes
01275;NEYRON;Province;Auvergne-Rhône-Alpes
01276;NIEVROZ;Province;Auvergne-Rhône-Alpes
01277;NIVOLLET MONTGRIFFON;Province;Auvergne-Rhône-Alpes
01278;OCHIAZ;Province;Auvergne-Rhône-Alpes
01279;ONCIEU;Province;Auvergne-Rhône-Alpes
01280;ORDONNAZ;Province;Auvergne-Rhône-Alpes
01281;ORNEX;Province;Auvergne-Rhône-Alpes
01282;OUTRIAZ;Province;Auvergne-Rhône-Alpes
01283;OYONNAX;Province;Auvergne-Rhône-Alpes
01284;OZAN;Province;Auvergne-Rhône-Alpes
01285;PARCIEUX;Province;Auvergne-Rhône-Alpes
01286;PARVES;Province;Auvergne-Rhône-Alpes
01287;PASSIN;Province;Auvergne-Rhône-Alpes
01288;PERON;Province;Auvergne-Rhône-Alpes
01289;PERONNAS;Province;Auvergne-Rhône-Alpes
01290;PEROUGES;Province;Auvergne-Rhône-Alpes
01291;PERREX;Province;Auvergne-Rhône-Alpes
01292;LE PETIT ABERGEMENT;Province;Auvergne-Rhône-Alpes
01293;PEYRIAT;Province;Auvergne-Rhône-Alpes
01294;PEYRIEU;Province;Auvergne-Rhône-Alpes
01295;PEYZIEUX SUR SAONE;Province;Auvergne-Rhône-Alpes
01296;PIRAJOUX;Province;Auvergne-Rhône-Alpes
01297;PIZAY;Province;Auvergne-Rhône-Alpes
01298;PLAGNE;Province;Auvergne-Rhône-Alpes
01299;LE PLANTAY;Province;Auvergne-Rhône-Alpes
01300;LE POIZAT;Province;Auvergne-Rhône-Alpes
01301;POLLIAT;Province;Auvergne-Rhône-Alpes
01302;POLLIEU;Province;Auvergne-Rhône-Alpes
01303;PONCIN;Province;Auvergne-Rhône-Alpes
01304;PONT D AIN;Province;Auvergne-Rhône-Alpes
01305;PONT DE VAUX;Province;Auvergne-Rhône-Alpes
01306;PONT DE VEYLE;Province;Auvergne-Rhône-Alpes
01307;PORT;Province;Auvergne-Rhône-Alpes
01308;POUGNY;Province;Auvergne-Rhône-Alpes
01309;POUILLAT;Province;Auvergne-Rhône-Alpes
01310;PREMEYZEL;Province;Auvergne-Rhône-Alpes
01311;PREMILLIEU;Province;Auvergne-Rhône-Alpes
